,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,Rating
0,0,1,0,Other,Internship,,,Marketing,0,10
1,0,1,0,Full-time,Not Applicable,,Marketing and Advertising,Customer Service,0,14
2,0,1,0,,,,,,0,6
3,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,11
4,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0,10
5,0,0,0,,,,,,0,12
6,0,1,1,Full-time,Mid-Senior level,Master's Degree,Online Media,Management,0,10
7,0,1,1,,,,,,0,11
8,0,1,1,Full-time,Associate,,Information Technology and Services,,0,9
9,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,9
10,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,12
11,0,1,0,,,,,,0,10
12,0,1,0,Full-time,Associate,Bachelor's Degree,Management Consulting,Information Technology,0,8
13,0,1,1,Full-time,Not Applicable,Unspecified,Events Services,Other,0,16
14,0,1,0,Full-time,Associate,Bachelor's Degree,Internet,Sales,0,14
15,0,1,1,Full-time,Executive,Bachelor's Degree,Facilities Services,Sales,0,9
16,0,1,0,Full-time,Mid-Senior level,,Internet,Engineering,0,12
17,0,1,1,,,,,,0,11
18,0,1,0,,,,,,0,9
19,0,0,0,Full-time,,,,,0,15
20,0,1,0,,,,,Marketing,0,16
21,0,1,0,Full-time,Mid-Senior level,Master's Degree,Consumer Electronics,Engineering,0,6
22,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Sales,0,13
23,0,1,0,Full-time,Executive,Unspecified,Internet,Sales,0,11
24,0,0,0,,,,,,0,18
25,0,1,1,,,,,,0,9
26,0,1,0,Full-time,Associate,,Online Media,Marketing,0,14
27,0,1,0,Full-time,Associate,Master's Degree,Hospital & Health Care,Health Care Provider,0,6
28,0,0,0,Full-time,,,Management Consulting,,0,9
29,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Administrative,0,9
30,0,1,0,Full-time,Entry level,High School or equivalent,Computer Software,Customer Service,0,9
31,0,1,0,Full-time,Associate,Unspecified,Computer Software,Engineering,0,9
32,0,1,1,Full-time,Entry level,Unspecified,Construction,Other,0,12
33,0,1,1,Full-time,,Bachelor's Degree,Oil & Energy,Engineering,0,15
34,0,1,1,Full-time,,,Marketing and Advertising,,0,8
35,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
36,0,1,0,Contract,,Bachelor's Degree,Education Management,,0,27
37,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Engineering,0,8
38,0,1,1,Full-time,Mid-Senior level,,Computer Software,Design,0,11
39,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0,12
40,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
41,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
42,0,0,0,Full-time,Entry level,Bachelor's Degree,Computer Software,Engineering,0,3
43,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,8
44,0,1,0,Full-time,Entry level,High School or equivalent,Computer Software,Customer Service,0,11
45,0,1,0,Full-time,,,Building Materials,Sales,0,6
46,0,0,0,Full-time,Entry level,Bachelor's Degree,Banking,,0,8
47,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0,6
48,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
49,0,1,0,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0,8
50,0,1,0,Full-time,Entry level,High School or equivalent,Food & Beverages,Production,0,11
51,0,1,0,Full-time,Entry level,High School or equivalent,Education Management,Administrative,0,10
52,0,1,0,Full-time,,,Information Technology and Services,,0,11
53,0,0,0,Full-time,Associate,Bachelor's Degree,Financial Services,Information Technology,0,15
54,0,1,0,,,,,,0,7
55,0,1,1,,,,,,0,14
56,0,1,0,,,,,,0,7
57,0,1,1,,,Bachelor's Degree,Hospital & Health Care,,0,6
58,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Marketing,0,18
59,0,1,1,Full-time,Not Applicable,Unspecified,Information Technology and Services,Design,0,9
60,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,24
61,0,1,1,Full-time,Entry level,High School or equivalent,Food Production,Supply Chain,0,8
62,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
63,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,12
64,0,0,0,,,,,,0,7
65,0,1,1,Full-time,,Unspecified,Computer Software,Engineering,0,7
66,0,1,1,,,,,,0,5
67,0,0,0,Full-time,,,,,0,18
68,0,0,0,Full-time,,,,,0,14
69,0,0,1,Contract,,,,Information Technology,0,11
70,0,1,0,,,,,Marketing,0,9
71,0,1,1,Full-time,Associate,High School or equivalent,Banking,Customer Service,0,14
72,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,9
73,0,0,0,Full-time,,,"Health, Wellness and Fitness",,0,6
74,0,1,0,Part-time,Entry level,High School or equivalent,Insurance,Administrative,0,8
75,0,1,1,Full-time,Mid-Senior level,Master's Degree,E-Learning,Engineering,0,11
76,0,1,1,Full-time,Associate,High School or equivalent,Hospital & Health Care,Health Care Provider,0,7
77,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,6
78,1,0,0,Full-time,Mid-Senior level,,Banking,Business Development,0,18
79,0,1,1,Full-time,,Bachelor's Degree,Information Technology and Services,Product Management,0,14
80,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
81,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,7
82,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0,14
83,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,12
84,0,1,0,Part-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0,9
85,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Financial Analyst,0,10
86,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Administrative,0,12
87,0,1,0,Full-time,Entry level,High School or equivalent,Insurance,Customer Service,0,11
88,0,1,1,,,,,,0,15
89,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
90,0,1,0,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Marketing,0,13
91,0,1,0,Full-time,,,Staffing and Recruiting,Consulting,0,5
92,1,0,0,Full-time,Entry level,High School or equivalent,Consumer Services,Human Resources,0,9
93,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Administrative,0,10
94,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0,16
95,0,1,0,Full-time,Director,Master's Degree,Internet,Marketing,0,22
96,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Information Technology,0,8
97,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,10
98,0,1,1,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1,11
99,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
100,0,1,0,,,,,,0,10
101,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
102,1,1,0,Full-time,Entry level,Bachelor's Degree,Internet,Marketing,0,10
103,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,9
104,0,0,0,,,,,,0,17
105,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0,9
106,0,1,1,Full-time,Internship,High School or equivalent,,,0,12
107,0,1,0,Full-time,Not Applicable,Unspecified,Venture Capital & Private Equity,Information Technology,0,12
